name,popularity
A-Bomb,low
Abin Sur,low
Abomination,low
Abraxas,low
Absorbing Man,low
Adam Strange,high
Agent Bob,low
Agent Zero,low
Air-Walker,low
Ajax,low
Alan Scott,low
Alfred Pennyworth,low
Amazo,low
Angel Dust,high
Animal Man,low
Annihilus,low
Anti-Monitor,low
Apocalypse,high
Aquababy,low
Aqualad,high
Aquaman,high
Arachne,low
Arclight,low
Ardina,low
Ares,high
Ariel,low
Armor,low
Atom Girl,low
Atom,high
Aurora,low
Azazel,low
Bane,high
Banshee,low
Bantam,low
Batman,high
Battlestar,low
Batwoman V,high
Beast,high
Beast Boy,high
Beta Ray Bill,high
Beyonder,high
Big Barda,low
Big Man,low
Bishop,high
Bizarro,low
Black Adam,low
Black Bolt,high
Black Canary,high
Black Canary,high
Black Cat,high
Black Flash,low
Black Knight III,high
Black Lightning,high
Black Mamba,low
Black Manta,high
Black Panther,high
Black Widow,high
Blackout,low
Blackwing,low
Blackwulf,low
Blade,high
Bling!,low
Blink,low
Blizzard,low
Blob,low
Bloodaxe,low
Bloodhawk,low
Blue Beetle III,high
Booster Gold,high
Brainiac,high
Bullseye,low
Bumblebee,low
Bushido,low
Cable,high
Callisto,low
Cannonball,low
Captain America,high
Captain Atom,high
Captain Britain,high
Captain Cold,low
Captain Marvel,high
Captain Planet,low
Carnage,low
Catwoman,high
Century,low
Chamber,low
Chameleon,low
Changeling,low
Cheetah,low
Citizen Steel,low
Cloak,high
Clock King,low
Colossus,high
Copycat,low
Cottonmouth,low
Crystal,low
Cyborg,high
Cyborg Superman,low
Cyclops,high
Dagger,high
Daredevil,high
Darkhawk,low
Darkside,high
Darkstar,low
Dazzler,low
Deadman,high
Deadshot,low
Deathlok,low
Deathstroke,high
Demogoblin,low
Destroyer,low
Diamondback,low
Doc Samson,low
Doctor Doom,high
Doctor Fate,high
Doctor Octopus,high
Doctor Strange,high
Domino,high
Doomsday,low
Doppelganger,low
Dormammu,low
Dr Manhattan,high
Drax the Destroyer,high
Ego,low
Electro,low
Elektra,high
Elongated Man,high
Emma Frost,high
Enchantress,low
Etrigan,low
Evilhawk,low
Exodus,low
Falcon,high
Fallen One II,low
Faora,low
Feral,low
Fin Fang Foom,low
Firebird,low
Firelord,low
Firestar,low
Firestorm,high
Flash,high
Forge,low
Franklin Richards,low
Franklin Storm,low
Frenzy,low
Galactus,high
Gambit,high
Gamora,high
General Zod,high
Ghost Rider,high
Giganta,low
Gladiator,low
Goblin Queen,low
Gog,low
Gorilla Grodd,low
Gravity,low
Green Arrow,high
Green Goblin,high
Groot,high
Guy Gardner,high
Hal Jordan,high
Harley Quinn,high
Havok,high
Hawk,high
Hawkgirl,high
Heat Wave,low
Hela,low
Hellcat,low
Hercules,high
Hope Summers,low
Hulk,high
Human Torch,high
Husk,low
Hybrid,low
Hydro-Man,low
Hyperion,high
Iceman,high
Indigo,low
Ink,low
Invisible Woman,high
Iron Fist,high
Iron Man,high
Iron Monger,low
Isis,low
Jack of Hearts,low
Jennifer Kale,low
Jessica Cruz,high
John Constantine,high
John Stewart,high
John Wraith,low
Joker,high
Jolt,low
Jubilee,low
Juggernaut,low
Junkpile,low
Justice,low
Kevin 11,low
Kid Flash,high
Killer Croc,low
Killer Frost,low
Kilowog,low
King Shark,low
Kingpin,high
Klaw,low
Kraven II,low
Kraven the Hunter,low
Krypto,high
Kyle Rayner,high
Lady Deathstrike,low
Leader,low
Leech,low
Legion,low
Lex Luthor,high
Light Lass,low
Lightning Lad,low
Lightning Lord,low
Living Brain,low
Living Tribunal,low
Lizard,low
Lobo,high
Loki,high
Longshot,low
Luna,low
Mach-IV,low
Machine Man,low
Magneto,high
Magog,low
Magus,low
Man-Bat,low
Man-Thing,low
Man-Wolf,low
Mandarin,low
Mantis,low
Martian Manhunter,high
Marvel Girl,low
Match,low
Maverick,low
Maxima,low
Medusa,high
Mephisto,low
Mera,high
Metallo,low
Metron,low
Micro Lad,low
Mimic,low
Miss Martian,high
Mister Fantastic,high
Mister Freeze,low
Mister Knife,low
Mister Mxyzptlk,low
Mister Sinister,low
Mister Zsasz,low
Mockingbird,high
MODOK,low
Molten Man,high
Moon Knight,high
Moonstone,low
Morlun,low
Moses Magnum,low
Mr Immortal,high
Multiple Man,low
Mysterio,low
Mystique,high
Namor,high
Namora,low
Namorita,low
Nebula,high
Negasonic Teenage Warhead,low
Nick Fury,high
Nightcrawler,high
Northstar,low
Nova,high
Odin,high
Offspring,low
One-Above-All,low
Onslaught,low
Osiris,low
Ozymandias,high
Parademon,low
Penguin,low
Phantom Girl,high
Plantman,low
Plastic Man,high
Plastique,low
Poison Ivy,low
Polaris,low
Power Girl,high
Professor X,high
Professor Zoom,low
Psylocke,low
Punisher,high
Purple Man,low
Pyro,low
Question,high
Quicksilver,high
Quill,low
Ra's Al Ghul,high
Raven,high
Ray,low
Red Arrow,low
Red Hulk,high
Red Skull,high
Red Tornado,high
Rhino,low
Rick Flag,low
Riddler,low
Rip Hunter,low
Rocket Raccoon,high
Rogue,high
Rorschach,high
Sabretooth,low
Sage,high
Sandman,low
Sasquatch,low
Scarecrow,low
Scarlet Witch,high
Scorpia,low
Sebastian Shaw,low
Sentry,high
Shadow King,low
Shadow Lass,low
Shadowcat,low
Shang-Chi,low
Shatterstar,low
She-Hulk,high
Shocker,low
Shriek,low
Sif,low
Silk,low
Silver Surfer,high
Silverclaw,low
Simon Baz,low
Sinestro,high
Siren,low
Siryn,low
Skaar,low
Snowbird,low
Sobek,low
Solomon Grundy,low
Songbird,low
Space Ghost,low
Speedy,high
Spider-Girl,high
Spider-Gwen,low
Spider-Man,high
Spider-Woman,high
Spyke,low
Star-Lord,high
Stardust,low
Starfire,high
Stargirl,low
Static,high
Steel,high
Steppenwolf,low
Storm,high
Sunspot,low
Superboy,high
Superboy-Prime,high
Supergirl,high
Superman,high
Swamp Thing,high
Swarm,low
Synch,low
Taskmaster,high
Thanos,high
The Comedian,low
Thing,high
Thor,high
Thor Girl,low
Thunderbird,low
Thunderstrike,high
Thundra,low
Tiger Shark,low
Tigra,low
Tinkerer,low
Toad,low
Toxin,high
Triplicate Girl,low
Triton,low
Two-Face,high
Ultragirl,high
Ultron,high
Utgard-Loki,high
Vanisher,high
Venom,high
Vibe,low
Vixen,high
Vulture,low
Walrus,low
War Machine,high
Warlock,low
Warp,low
Wasp,high
Watcher,low
White Canary,high
Wildfire,low
Winter Soldier,low
Wolfsbane,low
Wolverine,high
Wonder Girl,high
Wonder Man,high
Wonder Woman,high
Wyatt Wingfoot,low
X-23,high
X-Man,high
Ymir,low
Zatanna,high
Zoom,low
